customer_id,total_visits,total_spend_inr,avg_order_value,days_active,first_visit,last_visit,estimated_clv_inr,customer_segment,age,gender,area,is_loyalty_member
C00022,129,60174.16,466.47,1065,2022-01-29,2024-12-28,270135.67,Office Lunch Customer,28,Female,Powai,True
C00023,125,61916.5,495.33,1085,2022-01-07,2024-12-26,238794.32,Office Lunch Customer,31,Male,Borivali,False
C00024,117,56958.11,486.82,1092,2022-01-05,2024-12-31,94609.28,Occasional Visitor,34,Male,Kurla,False
C00025,130,63507.73,488.52,1082,2022-01-15,2024-12-31,213074.44,Office Lunch Customer,30,Male,Bandra,False
C00026,145,94026.57,648.46,1096,2022-01-01,2024-12-31,409903.3,Late Night Delivery User,28,Male,Borivali,True
C00027,151,71616.24,474.28,1080,2022-01-10,2024-12-24,154864.67,Office Lunch Customer,41,Female,Powai,True
C00028,127,373196.18,2938.55,1077,2022-01-09,2024-12-20,739185.86,Premium High Spender,53,Female,Goregaon,False
C00029,130,86563.73,665.87,1077,2022-01-18,2024-12-29,299715.46,Late Night Delivery User,30,Male,Malad,False
C00030,145,33721.75,232.56,1090,2022-01-04,2024-12-28,125406.07,Student Budget Diner,18,Female,Goregaon,False
C00031,153,291838.5,1907.44,1058,2022-02-04,2024-12-27,1059111.93,Weekend Family Diner,38,Male,Borivali,False
C00032,138,271692.03,1968.78,1094,2022-01-02,2024-12-30,876757.08,Weekend Family Diner,40,Male,Dadar,False
C00033,149,77437.05,519.71,1084,2022-01-09,2024-12-27,299420.68,Occasional Visitor,39,Male,Powai,False
C00034,139,64559.68,464.46,1091,2022-01-05,2024-12-30,127249.05,Office Lunch Customer,40,Female,Thane,True
C00035,116,76528.74,659.73,1086,2022-01-08,2024-12-28,246022.73,Late Night Delivery User,33,Male,Kurla,True
C00036,141,267628.54,1898.07,1056,2022-02-07,2024-12-28,731171.97,Weekend Family Diner,47,Male,Worli,False
C00037,127,262442.06,2066.47,1077,2022-01-03,2024-12-14,895987.0,Weekend Family Diner,28,Male,Vile Parle,False
C00038,147,71314.76,485.13,1093,2022-01-02,2024-12-29,246989.67,Office Lunch Customer,26,Male,Santacruz,False
C00039,139,88456.31,636.38,1077,2022-01-14,2024-12-25,365485.99,Late Night Delivery User,36,Male,Bandra,False
C00040,129,70951.48,550.01,1063,2022-02-01,2024-12-29,190939.0,Occasional Visitor,37,Female,Vile Parle,False
C00041,132,61748.37,467.79,1077,2022-01-17,2024-12-28,199844.63,Occasional Visitor,29,Female,Vile Parle,False
C00042,150,66951.6,446.34,1076,2022-01-21,2024-12-31,250775.37,Office Lunch Customer,21,Female,Juhu,True
C00043,133,371219.06,2791.12,1077,2022-01-13,2024-12-24,1525024.48,Premium High Spender,34,Male,Goregaon,False
C00044,159,457621.56,2878.12,1096,2022-01-01,2024-12-31,1660425.25,Premium High Spender,38,Male,Dadar,False
C00045,128,79642.3,622.21,1074,2022-01-21,2024-12-29,130208.33,Late Night Delivery User,18,Male,Colaba,True
C00046,127,228347.77,1798.01,1085,2022-01-10,2024-12-29,617905.37,Weekend Family Diner,41,Female,Worli,False
C00047,156,306179.2,1962.69,1091,2022-01-04,2024-12-29,676549.74,Weekend Family Diner,35,Male,Juhu,False
C00048,130,77191.96,593.78,1077,2022-01-20,2024-12-31,344666.95,Late Night Delivery User,30,Female,Powai,False
C00049,129,26949.89,208.91,1090,2022-01-07,2024-12-31,60565.43,Student Budget Diner,18,Female,Vile Parle,False
C00050,164,327989.69,1999.94,1096,2022-01-01,2024-12-31,996228.45,Weekend Family Diner,28,Male,Colaba,False
C00051,126,240113.29,1905.66,1089,2022-01-04,2024-12-27,823511.26,Weekend Family Diner,37,Female,Andheri,True
C00052,124,55921.55,450.98,1085,2022-01-07,2024-12-26,176044.97,Office Lunch Customer,26,Female,Andheri,True
C00053,150,414948.99,2766.33,1049,2022-01-31,2024-12-14,1852992.15,Premium High Spender,58,Male,Dadar,True
C00054,150,285453.84,1903.03,1092,2022-01-04,2024-12-30,1180256.97,Weekend Family Diner,39,Male,Andheri,True
C00055,124,239671.46,1932.83,1071,2022-01-12,2024-12-17,682039.69,Weekend Family Diner,41,Male,Colaba,False
C00056,132,60709.75,459.92,1061,2022-01-28,2024-12-23,141633.05,Office Lunch Customer,37,Male,Santacruz,False
C00057,155,446334.98,2879.58,1089,2022-01-08,2024-12-31,722616.83,Premium High Spender,43,Female,Colaba,False
C00058,140,403581.74,2882.73,1085,2022-01-07,2024-12-26,1382774.67,Premium High Spender,40,Female,Kurla,False
C00059,146,99265.65,679.9,1079,2022-01-18,2024-12-31,214696.07,Late Night Delivery User,26,Male,Worli,True
C00060,121,26514.52,219.13,1096,2022-01-01,2024-12-31,113707.29,Student Budget Diner,25,Female,Vile Parle,True
C00061,133,262714.72,1975.3,1087,2022-01-04,2024-12-25,591190.98,Weekend Family Diner,35,Female,Bandra,True
C00062,142,31598.05,222.52,1092,2022-01-05,2024-12-31,135175.39,Student Budget Diner,20,Male,Goregaon,True
C00063,159,432308.93,2718.92,1080,2022-01-08,2024-12-22,909871.28,Premium High Spender,47,Male,Thane,False
C00064,155,295361.76,1905.56,1084,2022-01-13,2024-12-31,969085.75,Weekend Family Diner,36,Female,Borivali,False
C00065,132,60181.4,455.92,1078,2022-01-18,2024-12-30,133857.89,Office Lunch Customer,27,Female,Andheri,True
C00066,115,22658.26,197.03,1092,2022-01-01,2024-12-27,57656.59,Student Budget Diner,29,Male,Kandivali,False
C00067,159,71757.49,451.3,1082,2022-01-13,2024-12-29,213720.7,Office Lunch Customer,30,Male,Dadar,False
C00068,156,451264.73,2892.72,1093,2022-01-01,2024-12-28,1496496.79,Premium High Spender,49,Male,Andheri,False
C00069,146,68801.56,471.24,1090,2022-01-07,2024-12-31,260213.73,Office Lunch Customer,40,Female,Borivali,False
C00070,122,64277.93,526.87,1095,2022-01-02,2024-12-31,122072.41,Occasional Visitor,26,Other,Worli,True
C00071,145,91355.17,630.04,1096,2022-01-01,2024-12-31,345299.81,Late Night Delivery User,32,Female,Santacruz,True
C00072,155,296664.48,1913.96,1092,2022-01-05,2024-12-31,1090316.22,Weekend Family Diner,41,Female,Malad,True
C00073,144,280135.9,1945.39,1093,2022-01-04,2024-12-31,461975.34,Weekend Family Diner,45,Female,Kurla,False
C00074,157,30364.96,193.41,1090,2022-01-06,2024-12-30,103883.78,Student Budget Diner,22,Male,Kandivali,False
C00075,116,335949.56,2896.12,1074,2022-01-17,2024-12-25,1325791.29,Premium High Spender,38,Male,Santacruz,True
C00076,133,246837.29,1855.92,1080,2022-01-17,2024-12-31,794215.98,Weekend Family Diner,29,Male,Colaba,False
C00077,134,378118.11,2821.78,1082,2022-01-05,2024-12-21,1397673.8,Premium High Spender,40,Male,Kurla,False
C00078,138,30873.55,223.72,1077,2022-01-06,2024-12-17,132921.59,Student Budget Diner,18,Other,Powai,True
C00079,138,75457.47,546.79,1077,2022-01-11,2024-12-22,121479.28,Occasional Visitor,33,Female,Goregaon,False
C00080,126,357033.16,2833.6,1066,2022-01-25,2024-12-25,1429992.51,Premium High Spender,45,Male,Andheri,False
C00081,140,29951.62,213.94,1075,2022-01-22,2024-12-31,111316.04,Student Budget Diner,19,Male,Bandra,True
C00082,129,83796.77,649.59,1091,2022-01-05,2024-12-30,258533.09,Late Night Delivery User,21,Male,Malad,True
C00083,141,69843.71,495.35,1086,2022-01-01,2024-12-21,188857.64,Occasional Visitor,37,Male,Powai,False
C00084,143,86173.03,602.61,1060,2022-01-21,2024-12-15,260810.16,Occasional Visitor,48,Female,Vile Parle,False
C00085,149,282494.83,1895.94,1095,2022-01-02,2024-12-31,953604.8,Weekend Family Diner,38,Male,Worli,False
C00086,128,72007.32,562.56,1051,2022-02-05,2024-12-21,138716.74,Occasional Visitor,42,Male,Andheri,False
C00087,131,27968.77,213.5,1077,2022-01-15,2024-12-26,47460.86,Student Budget Diner,18,Male,Santacruz,True
C00088,135,29046.65,215.16,1060,2022-02-06,2024-12-31,112250.68,Student Budget Diner,21,Female,Powai,False
C00089,145,30014.27,206.99,1079,2022-01-16,2024-12-29,100667.88,Student Budget Diner,18,Male,Santacruz,True
C00090,130,26196.46,201.51,1079,2022-01-17,2024-12-30,85692.11,Student Budget Diner,18,Female,Andheri,False
C00091,149,443994.97,2979.83,1077,2022-01-20,2024-12-31,818309.17,Premium High Spender,54,Female,Dadar,False
C00092,150,288537.61,1923.58,1089,2022-01-01,2024-12-24,1292406.71,Weekend Family Diner,38,Female,Worli,False
C00093,131,27801.87,212.23,1079,2022-01-18,2024-12-31,44709.64,Student Budget Diner,29,Female,Thane,False
C00094,139,392096.09,2820.84,1052,2022-02-05,2024-12-22,1540280.02,Premium High Spender,47,Female,Malad,False
C00095,133,79732.01,599.49,1083,2022-01-11,2024-12-28,214001.65,Late Night Delivery User,22,Female,Santacruz,False
C00096,139,69957.8,503.29,1036,2022-02-16,2024-12-17,278311.76,Occasional Visitor,44,Male,Colaba,True
C00097,129,88439.76,685.58,1090,2022-01-07,2024-12-31,150126.03,Late Night Delivery User,18,Female,Juhu,True
C00098,126,242491.61,1924.54,1088,2022-01-06,2024-12-28,515187.98,Weekend Family Diner,33,Male,Colaba,False
C00099,151,418770.55,2773.31,1096,2022-01-01,2024-12-31,1060843.78,Premium High Spender,50,Male,Colaba,True
C00100,111,203365.19,1832.12,1088,2022-01-08,2024-12-30,682815.5,Weekend Family Diner,36,Male,Powai,True
C00101,128,82367.46,643.5,1081,2022-01-08,2024-12-23,270983.7,Late Night Delivery User,18,Female,Malad,False
C00102,126,221171.24,1755.33,1084,2022-01-09,2024-12-27,770419.65,Weekend Family Diner,41,Female,Worli,True
C00103,111,52097.39,469.35,1085,2022-01-12,2024-12-31,208947.09,Occasional Visitor,34,Female,Goregaon,False
C00104,130,93091.79,716.09,1074,2022-01-20,2024-12-28,247165.14,Late Night Delivery User,24,Female,Kandivali,False
C00105,159,113864.47,716.13,1088,2022-01-06,2024-12-28,368663.4,Late Night Delivery User,31,Female,Malad,False
C00106,153,33192.89,216.95,1095,2022-01-02,2024-12-31,56292.44,Student Budget Diner,18,Male,Malad,True
C00107,143,71140.73,497.49,1057,2022-02-09,2024-12-31,129364.66,Office Lunch Customer,27,Male,Andheri,False
C00108,148,32091.34,216.83,1087,2022-01-10,2024-12-31,48579.68,Student Budget Diner,18,Male,Kurla,False
C00109,149,99502.45,667.8,1096,2022-01-01,2024-12-31,400995.48,Late Night Delivery User,36,Male,Malad,False
C00110,132,86547.65,655.66,1073,2022-01-15,2024-12-22,290486.92,Late Night Delivery User,39,Male,Juhu,True
C00111,141,251846.63,1786.15,1082,2022-01-04,2024-12-20,721460.12,Weekend Family Diner,33,Male,Borivali,True
C00112,150,287977.63,1919.85,1096,2022-01-01,2024-12-31,1107292.78,Weekend Family Diner,29,Female,Goregaon,True
C00113,124,344621.21,2779.2,1092,2022-01-05,2024-12-31,1539299.07,Premium High Spender,49,Male,Powai,True
C00114,137,409095.47,2986.1,1074,2022-01-23,2024-12-31,1099706.8,Premium High Spender,45,Female,Juhu,False
C00115,132,27842.88,210.93,1078,2022-01-19,2024-12-31,54726.23,Student Budget Diner,18,Female,Thane,False
C00116,141,273295.69,1938.27,1067,2022-01-30,2024-12-31,1212001.3,Weekend Family Diner,42,Male,Dadar,False
C00117,126,79581.29,631.6,1089,2022-01-03,2024-12-26,279286.68,Late Night Delivery User,39,Male,Worli,True
C00118,153,278267.05,1818.74,1091,2022-01-02,2024-12-27,721794.03,Weekend Family Diner,51,Male,Kandivali,False
C00119,156,64867.83,415.82,1095,2022-01-02,2024-12-31,256902.4,Office Lunch Customer,33,Male,Malad,False
C00120,152,289084.77,1901.87,1036,2022-03-02,2024-12-31,959430.94,Weekend Family Diner,38,Female,Goregaon,False
C00121,132,259492.49,1965.85,1079,2022-01-08,2024-12-21,713329.07,Weekend Family Diner,40,Female,Borivali,False
C00122,110,52320.63,475.64,1085,2022-01-12,2024-12-31,199422.39,Office Lunch Customer,29,Female,Powai,False
C00123,132,85128.94,644.92,1079,2022-01-09,2024-12-22,182711.56,Late Night Delivery User,18,Female,Malad,False
C00124,144,92944.35,645.45,1090,2022-01-07,2024-12-31,363218.96,Late Night Delivery User,36,Female,Colaba,False
C00125,170,75719.5,445.41,1092,2022-01-02,2024-12-28,186007.55,Office Lunch Customer,38,Male,Santacruz,False
C00126,127,67889.94,534.57,1080,2022-01-13,2024-12-27,286002.09,Occasional Visitor,42,Female,Vile Parle,True
C00127,133,247938.2,1864.2,1086,2022-01-02,2024-12-22,1003975.02,Weekend Family Diner,48,Female,Vile Parle,True
C00128,141,60223.71,427.12,1095,2022-01-02,2024-12-31,204112.8,Office Lunch Customer,34,Male,Bandra,False
C00129,144,66371.13,460.91,1096,2022-01-01,2024-12-31,239464.24,Office Lunch Customer,41,Female,Powai,False
C00130,142,70555.7,496.87,1095,2022-01-01,2024-12-30,286345.28,Office Lunch Customer,45,Male,Santacruz,True
C00131,155,82447.72,531.92,1048,2022-02-09,2024-12-22,275362.94,Occasional Visitor,41,Female,Bandra,False
C00132,147,269726.29,1834.87,1081,2022-01-06,2024-12-21,1168444.19,Weekend Family Diner,31,Female,Vile Parle,False
C00133,123,57726.99,469.33,1081,2022-01-13,2024-12-28,255865.2,Office Lunch Customer,33,Female,Colaba,True
C00134,152,30531.05,200.86,1091,2022-01-04,2024-12-29,62920.45,Student Budget Diner,21,Male,Dadar,True
C00135,147,301318.75,2049.79,1093,2022-01-04,2024-12-31,1008480.11,Weekend Family Diner,26,Female,Worli,False
C00136,153,71521.86,467.46,1084,2022-01-05,2024-12-23,228223.51,Office Lunch Customer,41,Male,Andheri,False
C00137,138,83742.06,606.83,1074,2022-01-11,2024-12-19,257667.03,Late Night Delivery User,31,Female,Powai,False
C00138,133,251785.09,1893.12,1076,2022-01-07,2024-12-17,1009886.36,Weekend Family Diner,37,Male,Kandivali,True
C00139,146,29188.36,199.92,1092,2022-01-04,2024-12-30,75323.52,Student Budget Diner,18,Male,Kurla,True
C00140,133,255854.52,1923.72,1053,2022-02-10,2024-12-28,469961.64,Weekend Family Diner,32,Male,Kandivali,True
C00141,151,75749.43,501.65,1072,2022-01-15,2024-12-21,172554.43,Office Lunch Customer,22,Female,Goregaon,True
C00142,121,235704.03,1947.97,1077,2022-01-18,2024-12-29,750698.98,Weekend Family Diner,24,Male,Colaba,False
C00143,125,363746.27,2909.97,1074,2022-01-01,2024-12-09,1269655.02,Premium High Spender,61,Male,Powai,False
C00144,114,223454.59,1960.13,1088,2022-01-08,2024-12-30,629838.12,Weekend Family Diner,51,Female,Malad,True
C00145,138,88870.29,643.99,1082,2022-01-09,2024-12-25,331234.97,Late Night Delivery User,34,Male,Thane,False
C00146,114,52760.32,462.81,1096,2022-01-01,2024-12-31,163209.21,Office Lunch Customer,18,Female,Dadar,True
C00147,130,237382.29,1826.02,1081,2022-01-14,2024-12-29,376342.35,Weekend Family Diner,42,Female,Kandivali,False
C00148,156,67466.06,432.47,1089,2022-01-01,2024-12-24,295033.01,Office Lunch Customer,35,Male,Kandivali,True
C00149,123,244378.05,1986.81,1088,2022-01-02,2024-12-24,873181.43,Weekend Family Diner,40,Male,Malad,False
C00150,132,60041.3,454.86,1073,2022-01-24,2024-12-31,210255.02,Office Lunch Customer,23,Female,Thane,False
C00151,138,86669.78,628.04,1096,2022-01-01,2024-12-31,344323.18,Late Night Delivery User,34,Male,Juhu,False
C00152,149,33793.8,226.8,1080,2022-01-16,2024-12-30,51223.34,Student Budget Diner,18,Male,Worli,True
C00153,149,96373.86,646.8,1091,2022-01-05,2024-12-30,267998.66,Late Night Delivery User,32,Male,Juhu,False
C00154,135,88594.27,656.25,1093,2022-01-02,2024-12-29,289648.25,Late Night Delivery User,33,Male,Powai,False
C00155,140,92569.51,661.21,1088,2022-01-02,2024-12-24,140395.75,Late Night Delivery User,25,Male,Goregaon,True
C00156,151,283133.76,1875.06,1087,2022-01-10,2024-12-31,938519.56,Weekend Family Diner,47,Female,Borivali,False
C00157,129,366612.17,2841.95,1079,2022-01-15,2024-12-28,740484.97,Premium High Spender,63,Female,Borivali,False
C00158,143,260012.43,1818.27,1093,2022-01-03,2024-12-30,667249.94,Weekend Family Diner,36,Male,Worli,True
C00159,138,31368.16,227.31,1075,2022-01-22,2024-12-31,125324.79,Student Budget Diner,26,Female,Goregaon,False
C00160,124,63803.69,514.55,1075,2022-01-01,2024-12-10,181936.43,Occasional Visitor,34,Male,Kurla,True
C00161,158,99795.59,631.62,1094,2022-01-01,2024-12-29,355202.67,Late Night Delivery User,25,Female,Dadar,False
C00162,126,51102.64,405.58,1090,2022-01-05,2024-12-29,137853.16,Office Lunch Customer,27,Male,Kandivali,False
C00163,146,96642.31,661.93,1049,2022-01-14,2024-11-27,305530.83,Late Night Delivery User,32,Female,Kurla,False
C00164,140,262164.5,1872.6,1067,2022-01-26,2024-12-27,484577.21,Weekend Family Diner,33,Female,Dadar,False
C00165,134,383113.44,2859.06,1090,2022-01-02,2024-12-26,1356099.01,Premium High Spender,49,Male,Colaba,False
C00166,159,464164.51,2919.27,1086,2022-01-04,2024-12-24,749002.37,Premium High Spender,47,Male,Powai,False
C00167,151,100563.65,665.98,1081,2022-01-14,2024-12-29,275851.13,Late Night Delivery User,20,Female,Juhu,False
C00168,155,92657.21,597.79,1081,2022-01-06,2024-12-21,400364.14,Occasional Visitor,32,Male,Borivali,False
C00169,118,25806.07,218.7,1073,2022-01-20,2024-12-27,108940.81,Student Budget Diner,21,Male,Thane,False
C00170,130,375418.36,2887.83,1084,2022-01-11,2024-12-29,822260.45,Premium High Spender,40,Male,Andheri,False
C00171,135,59475.88,440.56,1096,2022-01-01,2024-12-31,219025.13,Office Lunch Customer,38,Female,Vile Parle,True
C00172,149,306035.54,2053.93,1088,2022-01-08,2024-12-30,764218.65,Weekend Family Diner,39,Female,Bandra,False
C00173,136,261840.93,1925.3,1093,2022-01-01,2024-12-28,778122.53,Weekend Family Diner,56,Male,Santacruz,False
C00174,138,60471.06,438.2,1092,2022-01-05,2024-12-31,228056.15,Office Lunch Customer,27,Female,Andheri,True
C00175,137,69887.41,510.13,1095,2022-01-02,2024-12-31,188178.3,Office Lunch Customer,24,Male,Juhu,False
C00176,149,292167.37,1960.85,1074,2022-01-01,2024-12-09,533896.77,Weekend Family Diner,32,Male,Malad,True
C00177,148,30560.09,206.49,1089,2022-01-04,2024-12-27,98269.39,Student Budget Diner,19,Female,Juhu,False
C00178,148,281738.33,1903.64,1085,2022-01-05,2024-12-24,559326.94,Weekend Family Diner,32,Other,Vile Parle,False
C00179,132,236308.83,1790.22,1070,2022-01-09,2024-12-13,674078.87,Weekend Family Diner,35,Female,Malad,False
C00180,138,273151.44,1979.36,1092,2022-01-05,2024-12-31,464658.33,Weekend Family Diner,37,Male,Dadar,False
C00181,132,86681.88,656.68,1036,2022-02-20,2024-12-21,351162.09,Late Night Delivery User,27,Female,Kurla,False
C00182,143,289992.57,2027.92,1086,2022-01-08,2024-12-28,1204309.61,Weekend Family Diner,37,Female,Andheri,True
C00183,161,73919.89,459.13,1076,2022-01-16,2024-12-26,171382.6,Office Lunch Customer,35,Female,Dadar,True
C00184,145,273618.6,1887.02,1086,2022-01-09,2024-12-29,1036889.71,Weekend Family Diner,45,Female,Dadar,True
C00185,141,409240.56,2902.42,1089,2022-01-05,2024-12-28,1346749.49,Premium High Spender,19,Female,Kurla,False
C00186,154,106644.86,692.5,1084,2022-01-05,2024-12-23,321105.01,Late Night Delivery User,19,Female,Thane,False
C00187,146,431682.08,2956.73,1086,2022-01-08,2024-12-28,1138628.44,Premium High Spender,49,Female,Borivali,False
C00188,118,238802.46,2023.75,1089,2022-01-08,2024-12-31,605379.55,Weekend Family Diner,41,Female,Worli,False
C00189,155,321710.36,2075.55,1079,2022-01-18,2024-12-31,1215155.23,Weekend Family Diner,34,Female,Borivali,False
C00190,131,79292.72,605.29,1088,2022-01-02,2024-12-24,307603.06,Late Night Delivery User,30,Male,Santacruz,True
C00191,163,319419.67,1959.63,1091,2022-01-06,2024-12-31,927058.13,Weekend Family Diner,36,Male,Bandra,False
C00192,130,61415.78,472.43,1090,2022-01-07,2024-12-31,262223.2,Office Lunch Customer,33,Female,Malad,False
C00193,146,270661.0,1853.84,1095,2022-01-02,2024-12-31,847080.23,Weekend Family Diner,41,Female,Goregaon,True
C00194,156,297718.55,1908.45,1095,2022-01-02,2024-12-31,616389.15,Weekend Family Diner,33,Female,Andheri,False
C00195,135,363899.0,2695.55,1086,2022-01-09,2024-12-29,794212.31,Premium High Spender,32,Male,Malad,True
C00196,135,28577.76,211.69,1095,2022-01-02,2024-12-31,117862.17,Student Budget Diner,30,Female,Kandivali,True
C00197,153,78861.32,515.43,1092,2022-01-03,2024-12-29,326818.59,Occasional Visitor,44,Male,Borivali,True
C00198,139,404360.47,2909.07,1081,2022-01-10,2024-12-25,851364.53,Premium High Spender,44,Male,Vile Parle,False
C00199,151,31068.15,205.75,1096,2022-01-01,2024-12-31,136152.33,Student Budget Diner,18,Male,Worli,True
C00200,133,257963.66,1939.58,1057,2022-01-09,2024-11-30,640839.26,Weekend Family Diner,34,Female,Vile Parle,False
C00201,155,85619.17,552.38,1083,2022-01-07,2024-12-24,367773.82,Occasional Visitor,36,Female,Malad,False
C00202,103,208204.32,2021.4,1069,2022-01-01,2024-12-04,508379.24,Weekend Family Diner,36,Female,Colaba,False
C00203,146,280377.44,1920.39,1061,2022-01-26,2024-12-21,1207069.8,Weekend Family Diner,49,Male,Andheri,True
C00204,134,267102.2,1993.3,1096,2022-01-01,2024-12-31,890527.35,Weekend Family Diner,48,Female,Worli,False
C00205,107,56123.4,524.52,1094,2022-01-01,2024-12-29,193084.63,Occasional Visitor,34,Female,Dadar,False
C00206,146,73083.47,500.57,1093,2022-01-04,2024-12-31,254246.45,Office Lunch Customer,23,Female,Juhu,False
C00207,151,100330.23,664.44,1073,2022-01-09,2024-12-16,413174.93,Late Night Delivery User,24,Other,Thane,False
C00208,150,72950.62,486.34,1094,2022-01-01,2024-12-29,207652.92,Office Lunch Customer,29,Female,Bandra,True
C00209,125,233108.57,1864.87,1087,2022-01-10,2024-12-31,440223.53,Weekend Family Diner,36,Male,Goregaon,True
C00210,134,243186.75,1814.83,1091,2022-01-06,2024-12-31,714612.39,Weekend Family Diner,37,Female,Kandivali,True
C00211,146,306911.03,2102.13,1056,2022-02-10,2024-12-31,646117.6,Weekend Family Diner,47,Male,Goregaon,True
C00212,129,370388.2,2871.23,1081,2022-01-14,2024-12-29,712941.84,Premium High Spender,50,Female,Worli,False
C00213,147,90364.83,614.73,1095,2022-01-02,2024-12-31,182564.25,Late Night Delivery User,40,Female,Borivali,False
C00214,141,374778.46,2658.0,1096,2022-01-01,2024-12-31,713152.68,Premium High Spender,42,Female,Vile Parle,False
C00215,125,75852.14,606.82,1086,2022-01-05,2024-12-25,320965.9,Late Night Delivery User,23,Female,Juhu,False
C00216,136,29957.46,220.28,1072,2022-01-01,2024-12-07,97148.57,Student Budget Diner,36,Male,Borivali,False
C00217,125,340718.63,2725.75,1094,2022-01-02,2024-12-30,824951.71,Premium High Spender,44,Male,Kandivali,True
C00218,135,264232.54,1957.28,1060,2022-01-31,2024-12-25,1070942.95,Weekend Family Diner,38,Female,Andheri,False
C00219,132,26140.72,198.04,1072,2022-01-23,2024-12-29,108817.68,Student Budget Diner,18,Male,Santacruz,True
C00220,137,87905.61,641.65,1095,2022-01-02,2024-12-31,184871.72,Late Night Delivery User,19,Male,Malad,False
C00221,146,66363.05,454.54,1093,2022-01-04,2024-12-31,122716.42,Office Lunch Customer,36,Female,Worli,False
C00222,133,27262.14,204.98,1083,2022-01-08,2024-12-25,65762.4,Student Budget Diner,18,Male,Santacruz,False
C00223,127,364376.16,2869.1,1084,2022-01-07,2024-12-25,1526925.07,Premium High Spender,45,Male,Malad,False
C00224,147,34100.73,231.98,1087,2022-01-10,2024-12-31,101262.45,Student Budget Diner,18,Male,Borivali,False
C00225,122,242626.53,1988.74,1095,2022-01-02,2024-12-31,724344.41,Weekend Family Diner,28,Male,Kurla,True
C00226,136,89578.07,658.66,1082,2022-01-14,2024-12-30,281619.21,Late Night Delivery User,33,Male,Powai,True
C00227,152,75508.93,496.77,1073,2022-01-07,2024-12-14,267887.65,Office Lunch Customer,27,Female,Juhu,False
C00228,135,89881.95,665.79,1088,2022-01-07,2024-12-29,181736.41,Late Night Delivery User,18,Female,Colaba,False
C00229,137,94361.42,688.77,1091,2022-01-02,2024-12-27,254947.09,Late Night Delivery User,29,Female,Vile Parle,False
C00230,138,33248.01,240.93,1087,2022-01-08,2024-12-29,61750.05,Student Budget Diner,18,Male,Juhu,True
C00231,153,296039.0,1934.9,1094,2022-01-03,2024-12-31,584038.47,Weekend Family Diner,29,Male,Borivali,False
C00232,171,79760.71,466.44,1079,2022-01-18,2024-12-31,207795.04,Office Lunch Customer,36,Male,Vile Parle,False
C00233,140,29813.59,212.95,1081,2022-01-15,2024-12-30,132306.43,Student Budget Diner,27,Male,Kandivali,True
C00234,139,276387.63,1988.4,1081,2022-01-16,2024-12-31,853753.58,Weekend Family Diner,18,Female,Borivali,False
